Marking	English	Abbreviated Form	Full Form	Equivalent	Subfield1	Subfield2	Chinese	Recommendation	Count	A) 理論與應用語言學英漢辭典	B) 語言學名詞2011	C) 現代語言學詞典	D) 新編英漢語言學詞典	E) LSHK	Sort1
	adjunct				#		鄰接	D		√					2
	adjunct						附加性狀語						√		100
	adjunct						修飾成分						√		100
	adjunct						狀語						√		100
	adjunct instruction						輔助式教學						√		100
	adjunct model						輔助式教學模式						√		100
	adjunct string						附加語序列						√		100
*	adjunction			adjoin	SYN		附接	R				√			0
	adjunction				SYN		加接	A		√					1
	adjunction				#		結合	D		√					2
	adjunction				#		鄰接	D		√					2
	adjunction				#		鄰接	D					√		2
	adjunction						附加						√		100
	adjunction						合取						√		100
	adjunction						添加						√		100
	adjunctival				SYN		附接性的	R				√			0
	adjunctival				SYN		修飾短語	A		√					1
	adjunctival				SYN		附接性成分	A				√			1
	adjunctival						修飾成分結構						√		100
	adjustment model						調整模式						√		100
	adnex						主謂附加語						√		100
	adnominal				SYN		屬名詞的	A		√					1
	adnominal						名詞修飾語						√		100
*	adnominal			attributive	SYN		定語	R				√			0
	adnominal				SYN		涉名性的	A				√			1
	adoptive form						矯枉過正的形式						√		100
	adstratum						表層語言						√		100
	adultomorphic						成人形態分析						√		100
	advancement						升級						√		100
*	adverb	A	adverb		SYN		副詞	R				√			0
*	adverb	Adv	adverb		SYN		副詞	A				√			1
	adverb				SYN		副詞	A		√	√				1
	adverb				SYN		副詞	A					√		1
	adverb as adjunct						修飾性副詞						√		100
	adverb as conjunct						連接性副詞						√		100
	adverb as disjunct						分離性副詞						√		100
	adverb of cause and result						因果副詞						√		100
	adverb of degree						程度副詞						√		100
	adverb of exception						排除副詞						√		100
	adverb of frequency						頻度副詞						√		100
	adverb of manner						方式副詞						√		100
	adverb of place						地點副詞						√		100
	adverb of time						時間副詞						√		100
	adverb particle						副詞小品詞						√		100
	adverb phrase				SYN		副詞短語	R		√					0
	adverb phrases				#		副詞短語	D				√			2
	adverb preposing						副詞前置						√		100
*	adverbial	A	adverbial		SYN		狀語	R				√			0
*	adverbial	Adv	adverbial		SYN		狀語	A				√			1
	adverbial				SYN		狀語	A		√	√				1
	adverbial				SYN		狀語	A					√		1
	adverbial				#		副（詞）語	D		√					2
	adverbial				#		詞性	D		√					2
	adverbial accusative						狀語賓格						√		100
	adverbial borderline subordinators						狀語型兩可從屬連詞						√		100
	adverbial clause						狀語從句						√		100
	adverbial conjunction						狀語連詞						√		100
	adverbial group						副詞詞組						√		100
	adverbial participle						狀語分詞						√		100
	adverbial participle clause						狀語分詞短語						√		100
	adverbial particle						副詞小品詞						√		100
	adverbialization						副詞化						√		100
	adversative				#		轉折詞	D		√					2
	adversative				#		轉折語	D				√			2
	adversative				#		轉折詞	D					√		2
	adversative clause						轉折從句						√		100
	adversative conjunction						轉折連詞						√		100
	advertising language						廣告語言						√		100
	advisory						咨詢式						√		100
	aesthetic function						美學功能						√		100
	affect-bearing						感情負荷						√		100
	affected						承事						√		100
	affected						拿腔使調						√		100
	affected object						受動賓語						√		100
	affective				#		情感的	D		√		√			2
	affective domain						感情方面						√		100
	Affective Filter Hypothesis						情感過濾假設						√		100
	affective filtering						情感過濾						√		100
*	affective meaning			affect	SEM		情感義	R				√			0
	affective meaning				#		涵意	D		√					2
	affective meaning				#		言外之意	D		√					2
	affective meaning						情感意義						√		100
	affective variable						感情變項						√		100
	affiliation						譜系關係						√		100
	affiliation						親屬關係						√		100
	affinity						親近性						√		100
*	affirmative			positive	SYN	SEM	肯定式	R				√			0
	affirmative				SYN	SEM	肯定式	A		√					1
	affirmative				SYN	SEM	肯定的	A		√					1
	affirmative				SYN	SEM	肯定詞	A		√					1
	affirmative				SYN	SEM	肯定語	A		√					1
	affirmative sentence						肯定句						√		100
	affix				MOR		詞綴	R		√		√			0
	affix				MOR		詞綴	R					√		0
	affix				#		接添語	D		√					2
	affix				#		附加成分	D		√					2
	affix				MOR		詞綴	R			√				0
	affix clipping						詞綴略寫						√		100
	affix index						詞綴率						√		100
*	affixation			affixing	MOR		加綴（法）	R						√	0
*	affixation			affixing	MOR		添加詞綴	A				√			1
	affixation				MOR		附加法	A		√					1
	affixation				#		詞附法	D		√					2
	affixation				#		附加作用	D		√					2
	affixation						詞綴法						√		100
	affixed verb						附加詞綴動詞						√		100
	affixing language				TYP	MOR	有詞綴的語言	A		√					1
	affixing language				TYP	MOR	附著語	A		√					1
	affixing language						附著型語言						√		100
	affixing language						黏結型語言						√		100
	affixing languages				#		詞綴語	D				√			2
	affricate				PHT	PHN	塞擦音	R		√	√	√			0
	affricate				PHT	PHN	塞擦音	R					√		0
	affricate				#		破裂摩擦音	D		√					2
	affricate				#		閉塞摩擦音	D		√					2
	affrication				PHT		塞擦	R		√		√			0
	affrication				PHT		塞擦	R					√		0
	affricative						破擦音						√		100
	African English						非洲英語						√		100
	African languages						非洲語言						√		100
	Afrikaans						南非荷蘭語						√		100
	Afro-Asiatic						亞非語系						√		100
	afterthought construction						後思維結構						√		100
	age-grading						年齡階段						√		100
	agent				SEM	SYN	施事	R		√	√				0
	agent				SEM	SYN	施事	R					√		0
	agent				SEM	SYN	主事者	A		√					1
*	agent noun			agent-substantives			施事名詞						√		100
*	agent-substantives			agent noun			施事名詞						√		100
	agentive case						施事格						√		100
	agentive object				SEM	SYN	施事賓語	R		√	√				0
	agentive object				SEM	SYN	施事賓語	R					√		0
	agentive subject						施動主語						√		100
	agglomerating language						黏結型語言						√		100
	agglomeration						黏結						√		100
	agglomerative language						黏結型語言						√		100
*	agglutinating language			agglutinative language	TYP		黏著語	R			√				0
	agglutinating language				TYP		黏著語	R		√					0
	agglutinating language						黏著型語言						√		100
*	agglutinating languages			agglutinative	#		粘著語	D				√			2
	agglutination				MOR	TYP	粘著	R				√			0
	agglutination				MOR	TYP	黏著	R					√		0
	agglutination				MOR	TYP	黏著法	A		√					1
	agglutination				MOR	TYP	黏著法	A					√		1
	agglutination				#		膠著法	D		√					2
	agglutination				#		黏著作用	D		√					2
	agglutination						語音溶合						√		100
	agglutinative index						黏著率						√		100
*	agglutinative language			agglutinating language	TYP		黏著語	R			√				0
	agglutinative language				TYP		黏著語	R		√					0
	agglutinative language				#		膠著語	D		√					2
	agglutinative language						黏著型語言						√		100
	aggregative compound						聚集複合詞						√		100
	agnosia						辨認不能						√		100
	agnosia						失認						√		100
	agogics of speech						韻律學						√		100
*	AGR	AGR	agreement marking		SYN		一致標記	A				√			1
*	Agr	Agr	agreement		SYN		呼應語素	A		√					1
	AGR						一致關係						√		100
	agrammatic						語法失能的						√		100
	agrammatism				NRL	OTH	語法缺失症	R			√	√			0
	agrammatism				NRL	OTH	語法缺失	A			√				1
	agrammatism				#		語法錯亂	D		√	√				2
	agrammatism				#		語法錯亂	D					√		2
	agrammatism						語法失能						√		100
	agrammatism in Broca’s aphasia						布洛卡區失語症的語法錯亂						√		100
	agraphia						失寫症						√		100
*	agreement			congruence	SYN		一致關係	R					√		0
	agreement				SYN		一致關係	R				√			0
	agreement				SYN		一致關係	R		√					0
	agreement				#		對應關係	D		√					2
	agreement				#		同意	D		√					2
	agreement				SYN		呼應語素	A		√					1
	agreement maxim						贊同準則						√		100
*	AI	AI	artificial intelligence				人工智能						√		100
	AI-based approach						以人工智能為基礎的研究方法						√		100
	aim						目標						√		100
	Ainu						阿伊努語						√		100
	air chamber						氣室						√		100
	air stream						氣流						√		100
	air stream mechanism				PHT		氣流機制	R			√				0
	air-stream mechanism				PHT		氣流機制	R					√		0
	airstream mechanism				PHT		氣流機制	R				√			0
	Akkadian						阿卡得語						√		100
	Aktionsart						行為方式						√		100
	akueme						聲質						√		100
	alalia						失語症						√		100
	Albanian						阿爾巴尼亞語						√		100
	Alexandrine						亞列山大行						√		100
	alexia						失讀症						√		100
	alexia						完全失讀症						√		100
	algebraic linguistics						代數語言學						√		100
	Algonquian						阿爾貢金語						√		100
	algorithm				GEN		算法	R				√			0
	algorithm				GEN		算法	R					√		0
	algorithm				GEN		規則系統	A		√					1
	algorithm				GEN		算法	R		√					0
	algorithm				#		步驟	D		√					2
	algorithmic linguistics						算法語言學						√		100
*	alien word			alienism	SOC	LEX	外來詞	R			√				0
*	alien word			foreign word	SOC	LEX	外來詞	R			√				0
*	alien word			foreignism	SOC	LEX	外來詞	R			√				0
*	alien word			loan word	SOC	LEX	外來詞	R			√				0
	alien word				SOC	LEX	外來詞	R		√					0
	alien word				SOC	LEX	外來詞	R					√		0
*	alien word			alienism	SOC	LEX	借詞	A			√				1
*	alien word			foreign word	SOC	LEX	借詞	A			√				1
*	alien word			foreignism	SOC	LEX	借詞	A			√				1
*	alien word			loan word	SOC	LEX	借詞	A			√				1
	alienable possession				SYN		可讓渡領屬關係	R				√			0
	alienable possession				SYN		可讓渡的所有關係	A		√					1
	alienable possession				SYN		可轉讓的屬有關係	A		√					1
	alienable vs. inalienable possession						可讓渡所屬對不可讓渡所屬						√		100
	alienation						異化						√		100
*	alienism			alien word	SOC	LEX	外來詞	R			√				0
*	alienism			foreign word	SOC	LEX	外來詞	R			√				0
*	alienism			foreignism	SOC	LEX	外來詞	R			√				0
*	alienism			loan word	SOC	LEX	外來詞	R			√				0
	alienism				SOC	LEX	外來詞	R		√					0
*	alienism			alien word	SOC	LEX	借詞	A			√				1
*	alienism			foreign word	SOC	LEX	借詞	A			√				1
*	alienism			foreignism	SOC	LEX	借詞	A			√				1
*	alienism			loan word	SOC	LEX	借詞	A			√				1
	alienism						外來表達法						√		100
	alienism						外來成分						√		100
	alienism						外來語						√		100
	allative				SYN	TYP	向格	A		√		√			1
	allative						運動格						√		100
	allegory				APL		寓言	R		√					0
	allegory				APL		諷喻	A		√	√				1
	allegory				APL		諷喻	A					√		1
	allegro form						快速形式						√		100
	alliteration						頭韻格						√		100
